"Timestamp","Central_Latitude_Decimal","Central_Longitude_Decimal","Path Width (km)"
2024-04-08 12:46:18,-3.63680828685097,-140.960583069919,171
2024-04-08 12:46:19,-3.62926426511675,-140.939888760789,171
2024-04-08 12:46:20,-3.62172449380087,-140.919224748904,171
2024-04-08 12:46:21,-3.61418896778603,-140.89859097122,171
2024-04-08 12:46:22,-3.60665768195493,-140.877987364693,171
2024-04-08 12:46:23,-3.59913063119025,-140.85741386628,171
2024-04-08 12:46:24,-3.59160781037469,-140.836870412936,171
2024-04-08 12:46:25,-3.58408921439094,-140.816356941618,171
2024-04-08 12:46:26,-3.5765748381217,-140.795873389281,171
2024-04-08 12:46:27,-3.56906467644966,-140.775419692882,171
2024-04-08 12:46:28,-3.56155872425751,-140.754995789376,171
2024-04-08 12:46:29,-3.55405697642795,-140.73460161572,171
2024-04-08 12:46:30,-3.54655942784367,-140.714237108869,171
2024-04-08 12:46:31,-3.53906607338736,-140.69390220578,171
2024-04-08 12:46:32,-3.53157690794172,-140.673596843409,171
2024-04-08 12:46:33,-3.52409192638944,-140.653320958712,171
2024-04-08 12:46:34,-3.51661112361321,-140.633074488644,171
2024-04-08 12:46:35,-3.50913449449573,-140.612857370162,171
2024-04-08 12:46:36,-3.5016620339197,-140.592669540222,171
2024-04-08 12:46:37,-3.4941937367678,-140.572510935779,171
2024-04-08 12:46:38,-3.48672959792272,-140.552381493791,171
2024-04-08 12:46:39,-3.47926961226717,-140.532281151212,171
2024-04-08 12:46:40,-3.47181377468384,-140.512209845,171
2024-04-08 12:46:41,-3.46436208005541,-140.492167512109,171
2024-04-08 12:46:42,-3.45691452326459,-140.472154089497,171
2024-04-08 12:46:43,-3.44947109919406,-140.452169514118,171
2024-04-08 12:46:44,-3.44203180272652,-140.43221372293,171
2024-04-08 12:46:45,-3.43459662874467,-140.412286652887,171
2024-04-08 12:46:46,-3.42716557213119,-140.392388240947,171
2024-04-08 12:46:47,-3.41973862776878,-140.372518424065,171
2024-04-08 12:46:48,-3.41231579054013,-140.352677139197,171
2024-04-08 12:46:49,-3.40489705532794,-140.3328643233,171
2024-04-08 12:46:50,-3.39748241701491,-140.313079913329,171
2024-04-08 12:46:51,-3.39007187048371,-140.29332384624,171
2024-04-08 12:46:52,-3.38266541061706,-140.273596058989,171
2024-04-08 12:46:53,-3.37526303229764,-140.253896488533,171
2024-04-08 12:46:54,-3.36786473040814,-140.234225071827,171
2024-04-08 12:46:55,-3.36047049983126,-140.214581745828,171
2024-04-08 12:46:56,-3.35308033544969,-140.194966447491,171
2024-04-08 12:46:57,-3.34569423214612,-140.175379113773,171
2024-04-08 12:46:58,-3.33831218480326,-140.155819681629,171
2024-04-08 12:46:59,-3.33093418830378,-140.136288088016,171
2024-04-08 12:47:00,-3.3235602375304,-140.116784269889,171
2024-04-08 12:47:01,-3.31619032736579,-140.097308164206,171
2024-04-08 12:47:02,-3.30882445269266,-140.07785970792,171
2024-04-08 12:47:03,-3.30146260839369,-140.05843883799,171
2024-04-08 12:47:04,-3.29410478935158,-140.03904549137,171
